Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-02-28 04:00:00-05:00,147.88,147.88,147.04,147.23,0,0.0,0.0
2023-02-28 05:00:00-05:00,147.17,147.42,147.05,147.4,0,0.0,0.0
2023-02-28 06:00:00-05:00,147.39,147.73,147.39,147.58,0,0.0,0.0
2023-02-28 07:00:00-05:00,147.57,148.23,147.53,148.15,0,0.0,0.0
2023-02-28 08:00:00-05:00,148.15,148.26,147.1015,147.71,0,0.0,0.0
2023-02-28 09:00:00-05:00,147.7,147.75,147.36,147.41,0,0.0,0.0
2023-02-28 09:30:00-05:00,147.0500030517578,148.0,146.8300018310547,147.25999450683594,9811555,0.0,0.0
2023-02-28 10:30:00-05:00,147.26499938964844,148.17999267578125,147.0800018310547,147.9199981689453,4745552,0.0,0.0
2023-02-28 11:30:00-05:00,147.91000366210938,148.41000366210938,147.6199951171875,148.3159942626953,3345779,0.0,0.0
2023-02-28 12:30:00-05:00,148.32000732421875,148.97000122070312,148.2100067138672,148.9600067138672,3807007,0.0,0.0
2023-02-28 13:30:00-05:00,148.95750427246094,149.0800018310547,148.52999877929688,148.6199951171875,3495507,0.0,0.0
2023-02-28 14:30:00-05:00,148.6199951171875,148.75999450683594,148.00999450683594,148.07000732421875,4017257,0.0,0.0
2023-02-28 15:30:00-05:00,148.0800018310547,148.1199951171875,147.3699951171875,147.39999389648438,6697301,0.0,0.0
2023-02-28 16:00:00-05:00,147.4,152.81929,147.0,147.22,0,0.0,0.0
2023-02-28 17:00:00-05:00,147.41,150.09848,147.1,147.22,0,0.0,0.0
2023-02-28 18:00:00-05:00,147.27,147.37,147.02,147.115,0,0.0,0.0
