Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-02-28 04:00:00-05:00,250.01,250.59,249.21,249.25,0,0.0,0.0
2023-02-28 05:00:00-05:00,249.34,249.91,249.0,249.5,0,0.0,0.0
2023-02-28 06:00:00-05:00,249.5,250.2,249.44,250.0,0,0.0,0.0
2023-02-28 07:00:00-05:00,249.99,250.94,249.95,250.94,0,0.0,0.0
2023-02-28 08:00:00-05:00,250.9,251.47,248.8,250.3,0,0.0,0.0
2023-02-28 09:00:00-05:00,250.27,251.225,249.69,249.75,0,0.0,0.0
2023-02-28 09:30:00-05:00,249.07000732421875,250.41000366210938,248.72999572753906,249.52999877929688,3247797,0.0,0.0
2023-02-28 10:30:00-05:00,249.5399932861328,250.5,249.10000610351562,250.1199951171875,2268581,0.0,0.0
2023-02-28 11:30:00-05:00,250.10000610351562,250.39999389648438,249.1300048828125,250.2552947998047,1508411,0.0,0.0
2023-02-28 12:30:00-05:00,250.27999877929688,251.27999877929688,250.0500030517578,251.25999450683594,1493386,0.0,0.0
2023-02-28 13:30:00-05:00,251.26010131835938,251.49000549316406,250.34140014648438,250.4199981689453,1515248,0.0,0.0
2023-02-28 14:30:00-05:00,250.44000244140625,250.44000244140625,249.2899932861328,249.30999755859375,2020402,0.0,0.0
2023-02-28 15:30:00-05:00,249.32000732421875,250.39999389648438,248.8000030517578,249.41000366210938,2799009,0.0,0.0
2023-02-28 16:00:00-05:00,249.4,250.305,233.04926,249.13,0,0.0,0.0
2023-02-28 17:00:00-05:00,249.42,249.42,248.8,249.18,0,0.0,0.0
2023-02-28 18:00:00-05:00,249.18,249.4,248.75,248.9,0,0.0,0.0
